+---------+-----------+------------+-----+----------+----------+-----+----------+-----------+--------------+------------+-----+-------------+--------------+
| InfoSet | Strat:Bet | Strat:Pass | --- | Belief:H | Belief:L | --- | Util:Bet | Util:Pass | ExpectedUtil | Likelihood | --- | TotGain:Bet | TotGain:Pass |
+---------+-----------+------------+-----+----------+----------+-----+----------+-----------+--------------+------------+-----+-------------+--------------+
| K       | 0.90      | 0.10       | K   | 0.50     | 0.50     | K   | 1.17     | 1.17      | 1.17         | 0.33       | K   | 37.39       | 4.21         |
| Q       | 0.00      | 1.00       | Q   | 0.50     | 0.50     | Q   | -0.50    | -0.33     | -0.33        | 0.33       | Q   | 1.03        | 332.66       |
| J       | 0.30      | 0.70       | J   | 0.50     | 0.50     | J   | -1.00    | -1.00     | -1.00        | 0.33       | J   | 54.45       | 127.06       |
| Kb      | 1.00      | 0.00       | Kb  | 0.01     | 0.99     | Kb  | 2.00     | -1.00     | 2.00         | 0.05       | Kb  | 388.66      | 0.50         |
| Qb      | 0.34      | 0.66       | Qb  | 0.75     | 0.25     | Qb  | -1.00    | -1.00     | -1.00        | 0.20       | Qb  | 67.03       | 132.66       |
| Jb      | 0.00      | 1.00       | Jb  | 1.00     | 0.00     | Jb  | -2.00    | -1.00     | -1.00        | 0.15       | Jb  | 0.50        | 386.28       |
| Kp      | 1.00      | 0.00       | Kp  | 0.59     | 0.41     | Kp  | 1.37     | 1.00      | 1.37         | 0.28       | Kp  | 323.20      | 0.50         |
| Qp      | 0.00      | 1.00       | Qp  | 0.13     | 0.87     | Qp  | 0.62     | 0.75      | 0.75         | 0.13       | Qp  | 0.60        | 145.67       |
| Jp      | 0.33      | 0.67       | Jp  | 0.09     | 0.91     | Jp  | -1.00    | -1.00     | -1.00        | 0.18       | Jp  | 60.32       | 120.99       |
| Kpb     | 1.00      | 0.00       | Kpb | 0.01     | 0.99     | Kpb | 2.00     | -1.00     | 2.00         | 0.06       | Kpb | 412.19      | 0.50         |
| Qpb     | 0.63      | 0.37       | Qpb | 0.75     | 0.25     | Qpb | -1.00    | -1.00     | -1.00        | 0.22       | Qpb | 116.94      | 67.67        |
| Jpb     | 0.00      | 1.00       | Jpb | 1.00     | 0.00     | Jpb | -2.00    | -1.00     | -1.00        | 0.17       | Jpb | 0.50        | 408.73       |
+---------+-----------+------------+-----+----------+----------+-----+----------+-----------+--------------+------------+-----+-------------+--------------+
